Date,CummulativeTests,CummulativePositiveTests,CummulativePercentPositiveTests,Tests,PositiveTests,PercentPositiveTests,AvgTests,AvgPositiveTests,AvgPercentPositiveTests
10/23/2020,5230257,299435,5.70%,9,3,33.30%,21118,831,3.90%
10/22/2020,5230248,299432,5.70%,6418,296,4.60%,27708,1041,3.80%
10/21/2020,5223830,299136,5.70%,22823,892,3.90%,33339,1206,3.60%
10/20/2020,5201007,298244,5.70%,40068,1468,3.70%,36998,1299,3.50%
10/19/2020,5160939,296776,5.80%,37074,1373,3.70%,38077,1298,3.40%
10/18/2020,5123865,295403,5.80%,16904,746,4.40%,38008,1293,3.40%
10/17/2020,5106961,294657,5.80%,24533,1040,4.20%,37962,1288,3.40%
10/16/2020,5082428,293617,5.80%,46133,1469,3.20%,37978,1300,3.40%
10/15/2020,5036295,292148,5.80%,45838,1454,3.20%,37744,1291,3.40%
10/14/2020,4990457,290694,5.80%,48436,1541,3.20%,37622,1285,3.40%
10/13/2020,4942021,289153,5.90%,47623,1463,3.10%,37897,1272,3.40%
10/12/2020,4894398,287690,5.90%,36589,1336,3.70%,37864,1249,3.30%
10/11/2020,4857809,286354,5.90%,16581,711,4.30%,37745,1238,3.30%
10/10/2020,4841228,285643,5.90%,24648,1125,4.60%,37774,1222,3.20%
10/9/2020,4816580,284518,5.90%,44496,1409,3.20%,37981,1185,3.10%
10/8/2020,4772084,283109,5.90%,44979,1409,3.10%,37599,1161,3.10%
10/7/2020,4727105,281700,6%,50363,1453,2.90%,36752,1131,3.10%
10/6/2020,4676742,280247,6%,47394,1299,2.70%,35285,1104,3.10%
10/5/2020,4629348,278948,6%,35754,1257,3.50%,33886,1084,3.20%
10/4/2020,4593594,277691,6%,16783,599,3.60%,32785,1048,3.20%
10/3/2020,4576811,277092,6.10%,26096,871,3.30%,32327,1043,3.20%
10/2/2020,4550715,276221,6.10%,41825,1237,3%,31674,1037,3.30%
10/1/2020,4508890,274984,6.10%,39049,1201,3.10%,31002,1027,3.30%
9/30/2020,4469841,273783,6.10%,40094,1263,3.20%,31035,1028,3.30%
9/29/2020,4429747,272520,6.20%,37598,1163,3.10%,31316,1009,3.20%
9/28/2020,4392149,271357,6.20%,28051,1004,3.60%,31777,1008,3.20%
9/27/2020,4364098,270353,6.20%,13573,564,4.20%,32490,1013,3.10%
9/26/2020,4350525,269789,6.20%,21526,827,3.80%,32572,1012,3.10%
9/25/2020,4328999,268962,6.20%,37126,1168,3.10%,32472,1007,3.10%
9/24/2020,4291873,267794,6.20%,39277,1204,3.10%,32375,986,3%
9/23/2020,4252596,266590,6.30%,42064,1134,2.70%,32317,973,3%
9/22/2020,4210532,265456,6.30%,40819,1154,2.80%,31873,977,3.10%
9/21/2020,4169713,264302,6.30%,33044,1039,3.10%,31387,964,3.10%
9/20/2020,4136669,263263,6.40%,14149,555,3.90%,30835,950,3.10%
9/19/2020,4122520,262708,6.40%,20822,794,3.80%,30590,933,3.10%
9/18/2020,4101698,261914,6.40%,36451,1020,2.80%,30595,923,3%
9/17/2020,4065247,260894,6.40%,38868,1115,2.90%,30541,907,3%
9/16/2020,4026379,259779,6.50%,38955,1159,3%,30412,884,2.90%
9/15/2020,3987424,258620,6.50%,37417,1063,2.80%,30479,877,2.90%
9/14/2020,3950007,257557,6.50%,29185,943,3.20%,29644,865,2.90%
9/13/2020,3920822,256614,6.50%,12430,440,3.50%,26798,787,2.90%
9/12/2020,3908392,256174,6.60%,20858,718,3.40%,26228,779,3%
9/11/2020,3887534,255456,6.60%,36076,914,2.50%,25839,763,3%
9/10/2020,3851458,254542,6.60%,37963,948,2.50%,25124,781,3.10%
9/9/2020,3813495,253594,6.60%,39424,1115,2.80%,24687,803,3.30%
9/8/2020,3774071,252479,6.70%,31569,977,3.10%,24121,813,3.40%
9/7/2020,3742502,251502,6.70%,9263,396,4.30%,24593,840,3.40%
9/6/2020,3733239,251106,6.70%,8444,382,4.50%,27178,936,3.40%
9/5/2020,3724795,250724,6.70%,18135,610,3.40%,28050,963,3.40%
9/4/2020,3706660,250114,6.70%,31067,1041,3.40%,28382,1005,3.50%
9/3/2020,3675593,249073,6.80%,34904,1100,3.20%,28461,1013,3.60%
9/2/2020,3640689,247973,6.80%,35468,1184,3.30%,28099,1036,3.70%
9/1/2020,3605221,246789,6.80%,34867,1164,3.30%,28244,1067,3.80%
8/31/2020,3570354,245625,6.90%,27364,1069,3.90%,28115,1094,3.90%
8/30/2020,3542990,244556,6.90%,14542,574,3.90%,28106,1129,4%
8/29/2020,3528448,243982,6.90%,20464,904,4.40%,28127,1147,4.10%
8/28/2020,3507984,243078,6.90%,31615,1099,3.50%,28153,1152,4.10%
8/27/2020,3476369,241979,7%,32376,1257,3.90%,28203,1200,4.30%
8/26/2020,3443993,240722,7%,36480,1400,3.80%,28395,1220,4.30%
8/25/2020,3407513,239322,7%,33967,1357,4%,28152,1226,4.40%
8/24/2020,3373546,237965,7.10%,27301,1312,4.80%,28377,1253,4.40%
8/23/2020,3346245,236653,7.10%,14685,701,4.80%,28285,1246,4.40%
8/22/2020,3331560,235952,7.10%,20645,941,4.60%,28479,1261,4.40%
8/21/2020,3310915,235011,7.10%,31969,1429,4.50%,28772,1301,4.50%
8/20/2020,3278946,233582,7.10%,33720,1400,4.20%,29265,1315,4.50%
8/19/2020,3245226,232182,7.20%,34777,1440,4.10%,30250,1357,4.50%
8/18/2020,3210449,230742,7.20%,35539,1545,4.30%,30911,1410,4.60%
8/17/2020,3174910,229197,7.20%,26662,1264,4.70%,31859,1460,4.60%
8/16/2020,3148248,227933,7.20%,16044,806,5%,31738,1483,4.70%
8/15/2020,3132204,227127,7.30%,22690,1223,5.40%,32554,1544,4.70%
8/14/2020,3109514,225904,7.30%,35424,1525,4.30%,32831,1569,4.80%
8/13/2020,3074090,224379,7.30%,40614,1693,4.20%,33737,1635,4.80%
8/12/2020,3033476,222686,7.30%,39406,1814,4.60%,33754,1679,5%
8/11/2020,2994070,220872,7.40%,42174,1895,4.50%,34240,1736,5.10%
8/10/2020,2951896,218977,7.40%,25812,1428,5.50%,34005,1797,5.30%
8/9/2020,2926084,217549,7.40%,21756,1229,5.60%,33893,1794,5.30%
8/8/2020,2904328,216320,7.40%,24630,1401,5.70%,34011,1831,5.40%
8/7/2020,2879698,214919,7.50%,41765,1982,4.70%,34716,1879,5.40%
8/6/2020,2837933,212937,7.50%,40732,2004,4.90%,34253,1921,5.60%
8/5/2020,2797201,210933,7.50%,42810,2210,5.20%,34570,1976,5.70%
8/4/2020,2754391,208723,7.60%,40531,2328,5.70%,34653,2025,5.80%
8/3/2020,2713860,206395,7.60%,25027,1407,5.60%,35258,2184,6.20%
8/2/2020,2688833,204988,7.60%,22579,1488,6.60%,35539,2235,6.30%
8/1/2020,2666254,203500,7.60%,29567,1731,5.90%,35713,2313,6.50%
7/31/2020,2636687,201769,7.70%,38526,2279,5.90%,34347,2326,6.80%
7/30/2020,2598161,199490,7.70%,42949,2387,5.60%,34001,2370,7%
7/29/2020,2555212,197103,7.70%,43392,2554,5.90%,33807,2551,7.50%
7/28/2020,2511820,194549,7.70%,44763,3443,7.70%,34090,2682,7.90%
7/27/2020,2467057,191106,7.70%,26997,1764,6.50%,33979,2716,8%
7/26/2020,2440060,189342,7.80%,23799,2033,8.50%,34048,2788,8.20%
7/25/2020,2416261,187309,7.80%,20001,1825,9.10%,34109,2791,8.20%
7/24/2020,2396260,185484,7.70%,36108,2581,7.10%,35551,2909,8.20%
7/23/2020,2360152,182903,7.70%,41586,3657,8.80%,36479,3019,8.30%
7/22/2020,2318566,179246,7.70%,45373,3469,7.60%,36933,3014,8.20%
7/21/2020,2273193,175777,7.70%,43988,3681,8.40%,36327,3003,8.30%
7/20/2020,2229205,172096,7.70%,27483,2271,8.30%,36379,3029,8.30%
7/19/2020,2201722,169825,7.70%,24226,2051,8.50%,36280,3070,8.50%
7/18/2020,2177496,167774,7.70%,30094,2650,8.80%,36157,3073,8.50%
7/17/2020,2147402,165124,7.70%,42603,3351,7.90%,36347,3085,8.50%
7/16/2020,2104799,161773,7.70%,44766,3627,8.10%,36223,3119,8.60%
7/15/2020,2060033,158146,7.70%,41132,3391,8.20%,35877,3108,8.70%
7/14/2020,2018901,154755,7.70%,44348,3860,8.70%,34939,3059,8.80%
7/13/2020,1974553,150895,7.60%,26788,2559,9.60%,34339,3013,8.80%
7/12/2020,1947765,148336,7.60%,23367,2072,8.90%,34744,3035,8.70%
7/11/2020,1924398,146264,7.60%,31424,2733,8.70%,32686,2881,8.80%
7/10/2020,1892974,143531,7.60%,41738,3594,8.60%,29440,2644,9%
7/9/2020,1851236,139937,7.60%,42339,3547,8.40%,26199,2374,9.10%
7/8/2020,1808897,136390,7.50%,34567,3049,8.80%,26231,2371,9%
7/7/2020,1774330,133341,7.50%,40150,3539,8.80%,27202,2456,9%
7/6/2020,1734180,129802,7.50%,29620,2712,9.20%,26835,2414,9%
7/5/2020,1704560,127090,7.50%,8963,993,11.10%,27606,2442,8.80%
7/4/2020,1695597,126097,7.40%,8702,1075,12.40%,27881,2456,8.80%
7/3/2020,1686895,125022,7.40%,19055,1702,8.90%,30537,2632,8.60%
7/2/2020,1667840,123320,7.40%,42560,3526,8.30%,33331,2837,8.50%
7/1/2020,1625280,119794,7.40%,41362,3647,8.80%,32500,2796,8.60%
6/30/2020,1583918,116147,7.30%,37584,3246,8.60%,31303,2689,8.60%
6/29/2020,1546334,112901,7.30%,35016,2905,8.30%,30483,2646,8.70%
6/28/2020,1511318,109996,7.30%,10891,1093,10%,29326,2559,8.70%
6/27/2020,1500427,108903,7.30%,27291,2304,8.40%,29175,2553,8.80%
6/26/2020,1473136,106599,7.20%,38611,3136,8.10%,27826,2466,8.90%
6/25/2020,1434525,103463,7.20%,36746,3238,8.80%,26123,2327,8.90%
6/24/2020,1397779,100225,7.20%,32985,2903,8.80%,24554,2183,8.90%
6/23/2020,1364794,97322,7.10%,31840,2940,9.20%,23677,2089,8.80%
6/22/2020,1332954,94382,7.10%,26917,2302,8.60%,22797,1941,8.50%
6/21/2020,1306037,92080,7.10%,9838,1046,10.60%,22524,1870,8.30%
6/20/2020,1296199,91034,7%,17848,1697,9.50%,22503,1824,8.10%
6/19/2020,1278351,89337,7%,26687,2166,8.10%,22487,1752,7.80%
6/18/2020,1251664,87171,7%,25765,2225,8.60%,22551,1649,7.30%
6/17/2020,1225899,84946,6.90%,26846,2244,8.40%,22544,1552,6.90%
6/16/2020,1199053,82702,6.90%,25681,1910,7.40%,22612,1456,6.40%
6/15/2020,1173372,80792,6.90%,25005,1802,7.20%,23036,1390,6%
6/14/2020,1148367,78990,6.90%,9692,726,7.50%,22833,1340,5.90%
6/13/2020,1138675,78264,6.90%,17732,1193,6.70%,22799,1318,5.80%
6/12/2020,1120943,77071,6.90%,27135,1445,5.30%,23250,1307,5.60%
6/11/2020,1093808,75626,6.90%,25719,1541,6%,23024,1290,5.60%
6/10/2020,1068089,74085,6.90%,27317,1577,5.80%,22612,1268,5.60%
6/9/2020,1040772,72508,7%,28655,1443,5%,21787,1249,5.70%
6/8/2020,1012117,71065,7%,23583,1452,6.20%,20524,1251,6.10%
6/7/2020,988534,69613,7%,9450,576,6.10%,19622,1204,6.10%
6/6/2020,979084,69037,7.10%,20892,1115,5.30%,19308,1178,6.10%
6/5/2020,958192,67922,7.10%,25549,1323,5.20%,18831,1166,6.20%
6/4/2020,932643,66599,7.10%,22836,1392,6.10%,18656,1200,6.40%
6/3/2020,909807,65207,7.20%,21546,1441,6.70%,18893,1218,6.40%
6/2/2020,888261,63766,7.20%,19811,1456,7.30%,19562,1227,6.30%
6/1/2020,868450,62310,7.20%,17272,1123,6.50%,20186,1279,6.30%
5/31/2020,851178,61187,7.20%,7253,397,5.50%,18618,1203,6.50%
5/30/2020,843925,60790,7.20%,17548,1027,5.90%,18449,1200,6.50%
5/29/2020,826377,59763,7.20%,24325,1566,6.40%,18415,1157,6.30%
5/28/2020,802052,58197,7.30%,24498,1516,6.20%,18329,1074,5.90%
5/27/2020,777554,56681,7.30%,26228,1504,5.70%,19364,1020,5.30%
5/26/2020,751326,55177,7.30%,24179,1820,7.50%,18819,980,5.20%
5/25/2020,727147,53357,7.30%,6292,591,9.40%,18884,882,4.70%
5/24/2020,720855,52766,7.30%,6070,378,6.20%,20265,945,4.70%
5/23/2020,714785,52388,7.30%,17312,727,4.20%,21033,949,4.50%
5/22/2020,697473,51661,7.40%,23722,982,4.10%,20851,960,4.60%
5/21/2020,673751,50679,7.50%,31745,1135,3.60%,21556,1025,4.80%
5/20/2020,642006,49544,7.70%,22411,1229,5.50%,20655,1074,5.20%
5/19/2020,619595,48315,7.80%,24637,1131,4.60%,20908,1055,5%
5/18/2020,594958,47184,7.90%,15960,1036,6.50%,20803,1063,5.10%
5/17/2020,578998,46148,8%,11446,405,3.50%,21359,1065,5%
5/16/2020,567552,45743,8.10%,16035,802,5%,20611,1062,5.20%
5/15/2020,551517,44941,8.10%,28657,1437,5%,20495,1060,5.20%
5/14/2020,522860,43504,8.30%,25436,1477,5.80%,19296,998,5.20%
5/13/2020,497424,42027,8.40%,24187,1096,4.50%,18863,932,4.90%
5/12/2020,473237,40931,8.60%,23902,1188,5%,18833,936,5%
5/11/2020,449335,39743,8.80%,19847,1052,5.30%,18450,940,5.10%
5/10/2020,429488,38691,9%,6211,381,6.10%,18331,896,4.90%
5/9/2020,423277,38310,9.10%,15222,792,5.20%,18433,900,4.90%
5/8/2020,408055,37518,9.20%,20270,998,4.90%,18541,895,4.80%
5/7/2020,387785,36520,9.40%,22400,1016,4.50%,18523,896,4.80%
5/6/2020,365385,35504,9.70%,23978,1124,4.70%,18143,897,4.90%
5/5/2020,341407,34380,10.10%,21221,1218,5.70%,16717,898,5.40%
5/4/2020,320186,33162,10.40%,19014,744,3.90%,15593,878,5.60%
5/3/2020,301172,32418,10.80%,6925,408,5.90%,14649,941,6.40%
5/2/2020,294247,32010,10.90%,15978,759,4.80%,14341,949,6.60%
5/1/2020,278269,31251,11.20%,20146,1006,5%,13562,987,7.30%
4/30/2020,258123,30245,11.70%,19736,1017,5.20%,12214,1018,8.30%
4/29/2020,238387,29228,12.30%,14001,1132,8.10%,10503,1009,9.60%
4/28/2020,224386,28096,12.50%,13352,1078,8.10%,9674,973,10.10%
4/27/2020,211034,27018,12.80%,12405,1188,9.60%,9202,960,10.40%
4/26/2020,198629,25830,13%,4768,463,9.70%,8428,932,11.10%
4/25/2020,193861,25367,13.10%,10529,1024,9.70%,8256,926,11.20%
4/24/2020,183332,24343,13.30%,10704,1222,11.40%,7681,888,11.60%
4/23/2020,172628,23121,13.40%,7763,958,12.30%,7336,832,11.30%
4/22/2020,164865,22163,13.40%,8194,875,10.70%,7393,828,11.20%
4/21/2020,156671,21288,13.60%,10051,992,9.90%,7436,848,11.40%
4/20/2020,146620,20296,13.80%,6990,991,14.20%,6843,840,12.30%
4/19/2020,139630,19305,13.80%,3560,420,11.80%,6394,810,12.70%
4/18/2020,136070,18885,13.90%,6502,759,11.70%,6113,805,13.20%
4/17/2020,129568,18126,14%,8289,831,10%,5733,775,13.50%
4/16/2020,121279,17295,14.30%,8166,926,11.30%,5483,755,13.80%
4/15/2020,113113,16369,14.50%,8491,1018,12%,5211,720,13.80%
4/14/2020,104622,15351,14.70%,5906,936,15.80%,4678,682,14.60%
4/13/2020,98716,14415,14.60%,3847,780,20.30%,4437,661,14.90%
4/12/2020,94869,13635,14.40%,1590,383,24.10%,4310,621,14.40%
4/11/2020,93279,13252,14.20%,3841,549,14.30%,4351,631,14.50%
4/10/2020,89438,12703,14.20%,6542,691,10.60%,4280,636,14.90%
4/9/2020,82896,12012,14.50%,6258,680,10.90%,4127,634,15.40%
4/8/2020,76638,11332,14.80%,4760,752,15.80%,3915,640,16.30%
4/7/2020,71878,10580,14.70%,4220,793,18.80%,3918,634,16.20%
4/6/2020,67658,9787,14.50%,2958,497,16.80%,3941,612,15.50%
4/5/2020,64700,9290,14.40%,1875,458,24.40%,4075,625,15.30%
4/4/2020,62825,8832,14.10%,3348,582,17.40%,4017,600,14.90%
4/3/2020,59477,8250,13.90%,5470,676,12.40%,3989,587,14.70%
4/2/2020,54007,7574,14%,4771,720,15.10%,3735,563,15.10%
4/1/2020,49236,6854,13.90%,4782,709,14.80%,3502,523,14.90%
3/31/2020,44454,6145,13.80%,4385,642,14.60%,3277,484,14.80%
3/30/2020,40069,5503,13.70%,3894,585,15%,3090,454,14.70%
3/29/2020,36175,4918,13.60%,1470,289,19.70%,2892,419,14.50%
3/28/2020,34705,4629,13.30%,3152,487,15.50%,2830,406,14.30%
3/27/2020,31553,4142,13.10%,3689,508,13.80%,2564,360,14%
3/26/2020,27864,3634,13%,3141,440,14%,2362,327,13.80%
3/25/2020,24723,3194,12.90%,3205,437,13.60%,2216,299,13.50%
3/24/2020,21518,2757,12.80%,3077,430,14%,2050,271,13.20%
3/23/2020,18441,2327,12.60%,2509,343,13.70%,1931,245,12.70%
3/22/2020,15932,1984,12.50%,1039,199,19.20%,1784,222,12.40%
3/21/2020,14893,1785,12%,1286,165,12.80%,1722,204,11.80%
3/20/2020,13607,1620,11.90%,2277,272,11.90%,1642,194,11.80%
3/19/2020,11330,1348,11.90%,2118,249,11.80%,1454,173,11.90%
3/18/2020,9212,1099,11.90%,2044,238,11.60%,1251,150,12%
3/17/2020,7168,861,12%,2247,248,11%,997,119,11.90%
3/16/2020,4921,613,12.50%,1478,181,12.20%,703,88,12.50%
3/15/2020,3443,432,12.50%,607,72,11.90%,NA,NA,NA%
3/14/2020,2836,360,12.70%,725,96,13.20%,NA,NA,NA%
3/13/2020,2111,264,12.50%,958,124,12.90%,NA,NA,NA%
3/12/2020,1153,140,12.10%,699,89,12.70%,NA,NA,NA%
3/11/2020,454,51,11.20%,268,23,8.60%,NA,NA,NA%
3/10/2020,186,28,15.10%,186,28,15.10%,NA,NA,NA%
