,Place,TotalPopulation,pop18OrLess,pop19To49,pop50To64,pop65AndUp,cityCase_18OrLess,cityCase_19To49,cityCase_50To64,cityCase_65AndUp,sumOfcityCase,Cases,rscore_18OrLess,rscore_19to49,rscore_50to65,rscore_65andUp
0,Rolling Hills,3218,820.59,984.708,759.4480000000001,656.472,2.387704662475172,6.868125808735938,4.023624111064781,2.72054541772411,16.0,16.0,0.002909741359844955,0.006974784208857792,0.0052980903380676235,0.0041441910968390274
1,Palos Verdes Estates,13340,3281.64,4175.42,3201.6,2681.34,22.746729899822498,69.37525453144606,40.407322817878814,26.47069275085261,158.99999999999997,159.0,0.006931512871558885,0.016615155967889712,0.01262097789164131,0.009872188066732533
2,Bel-Air,7691,1507.4360000000001,2822.5969999999998,1753.548,1607.4189999999999,,,,,,,,,,
3,Bradbury,1268,292.90799999999996,419.70799999999997,242.18800000000002,314.464,3.882554186831627,13.33551916600347,5.845260691831782,5.936665955333125,29.000000000000007,29.0,0.013255200222703468,0.031773326136274434,0.02413522012581871,0.018878682314456108
4,Century City,5513,678.099,2381.6160000000004,997.8530000000001,1455.432,14.912353629358254,125.5455193663006,39.956241490921286,45.58588551341986,226.0,226.0,0.0219914107370137,0.0527144255691516,0.04004221212034366,0.03132120601540976
5,Beverly Crest,10852,2094.436,4275.688,2626.1839999999997,1844.8400000000001,25.447828978460112,124.52772057747566,58.09968347143104,31.924766972633197,240.0,240.0,0.012150206059512017,0.02912460417539251,0.02212323411894637,0.01730489742884651
6,Rancho Palos Verdes,41301,9788.337,14661.855,9127.521,7723.287,63.544121151652774,228.15593627797386,107.89076616518606,71.40917640518725,471.0,471.0,0.006491819923205829,0.01556119169627403,0.011820379943818925,0.009245956599202807
7,Rancho Dominguez,2526,525.408,982.614,654.234,363.744,,,,,,,,,,
8,Pacific Palisades,23940,5697.719999999999,8785.98,5266.8,4165.5599999999995,34.63310906761383,128.01385501225244,58.29108998726522,36.0619459328685,257.0,257.0,0.0060784154131150415,0.01457024202334315,0.011067648284967193,0.00865716636727559
9,View Park-Windsor Hills,11066,2368.124,4271.476,2202.134,2224.266,,,,,,,,,,
10,Rolling Hills Estates,8334,2183.5080000000003,2858.5620000000004,1858.482,1441.7820000000002,11.465934343861996,35.9814505690216,17.76961401217325,10.783001074943156,76.0,76.0,0.0052511528896903486,0.01258725560929642,0.009561359223373296,0.00747894000267943
11,La Habra Heights,6094,1468.6540000000002,2224.31,1371.15,1029.886,9.551027072884278,34.67386758415077,16.236055364014682,9.53904997895028,70.00000000000001,70.0,0.006503252006860892,0.015588594927933054,0.011841195612452818,0.009262238712780133
12,Westlake Village,8663,2044.468,3153.332,1983.8269999999998,1490.0359999999998,7.731319138552891,28.583760859356918,13.65972801634853,8.025191985741667,58.0,58.0,0.003781579921306125,0.009064621441496461,0.00688554395940197,0.005385904760516973
13,Ladera Heights,6509,1425.4710000000002,2401.821,1451.507,1230.2009999999998,,,,,,,,,,
14,Encino,41905,7752.425,18102.96,7752.425,8255.285,128.23521041319398,717.7871769143663,233.4921373652308,194.4854753072088,1274.0,1274.0,0.016541302935945072,0.03965026586339286,0.030118593519476912,0.0235589050295912
15,Sierra Madre,10578,2083.866,4675.476000000001,2126.1780000000003,1692.48,16.076356833733673,86.4609630911437,29.866369961488154,18.596310113634477,151.0,151.0,0.00771467879111885,0.01849244078916108,0.014046975352716541,0.010987609965042115
16,Topanga,7425,1611.2250000000001,3385.8,1715.1750000000002,720.2249999999999,,,,,,,,,,
17,Malibu,12514,2615.4260000000004,5318.450000000001,2853.192,1714.418,18.648414580480463,90.89938562158284,37.042087085038744,17.410112712897952,164.0,164.0,0.00713016333877558,0.017091330297658684,0.012982682933724314,0.010155115446115213
18,Cheviot Hills,6945,1465.395,2916.9,1291.7700000000002,1263.99,17.66426267067229,84.28275778962615,28.352474922569655,21.7005046171319,152.0,152.0,0.012054267054734245,0.028894633957155247,0.021948547282077808,0.017168256566216428
19,San Marino,12973,3619.4670000000006,4812.983,2348.1130000000003,2192.437,22.627232761063876,72.12362373991164,26.72826619299297,19.520877306031494,141.0,141.0,0.006251537245971264,0.014985223039414772,0.011382870497711552,0.008903734659664791
20,San Pasqual,2082,366.43199999999996,1072.23,393.49799999999993,249.84,,,,,,,,,,
21,Angeles Crest,1175,204.45000000000002,601.6,242.05,125.725,,,,,,,,,,
22,Porter Ranch,24923,6280.5960000000005,10118.738000000001,5507.983,2990.7599999999998,110.41141351216346,426.3986794310218,176.30745429199303,74.88245276482179,788.0000000000001,788.0,0.01757976687437999,0.042139511807798735,0.032009440532404156,0.02503793442630696
23,Beverly Hills,33829,7036.432,14444.983,6326.023,5987.732999999999,124.17589206674978,611.0520662902405,203.2733909988464,150.49865064416326,1089.0,1089.0,0.017647565139086087,0.0423020273745037,0.032132888387988216,0.025134495917597408
24,La Ca̱ada Flintridge,20381,6338.491,7153.731,4035.438,2853.34,,,,,,,,,,
25,Northwest Antelope Valley,3343,899.267,1303.77,628.484,508.13599999999997,,,,,,,,,,
26,Hollywood Hills West,14860,1634.6000000000001,8395.9,2734.24,2080.4,,,,,,,,,,
27,Leona Valley,1374,461.66399999999993,520.746,283.04400000000004,108.546,,,,,,,,,,
28,Hidden Hills,1875,631.875,630.0,425.62499999999994,187.5,6.151965698356237,14.702787153399242,7.545270840253543,2.599976307990981,31.000000000000004,31.0,0.009736048582957449,0.023337757386348003,0.017727508582093494,0.013866540309285231
29,West San Dimas,309,79.104,128.23499999999999,69.525,32.445,,,,,,,,,,
30,Southeast Antelope Valley,5271,1375.731,2124.2129999999997,1022.5739999999998,743.2109999999999,,,,,,,,,,
31,Chatsworth,35073,8277.228,15326.901000000002,6909.380999999999,4559.49,169.8295933779251,753.8053095127192,258.126483454949,133.2386136544067,1315.0,1315.0,0.02051768942186021,0.04918184762286382,0.03735884349914254,0.029222262501816365
32,Northwest Palmdale,3125,987.5,1090.625,675.0000000000001,368.75,,,,,,,,,,
33,Agua Dulce,3130,832.58,1433.54,672.95,190.93,,,,,,,,,,
34,Arcadia,52951,13078.896999999999,22610.077,8895.768,8313.307,125.41819677435889,519.7181243737023,155.32374481484743,113.53993403709143,914.0,914.0,0.009589355797691419,0.02298612801600376,0.017460408681391808,0.013657613514945547
35,Woodland Hills,59661,11991.861,27265.077,10798.641000000001,9605.421,189.26484840291883,1031.4934920144105,310.32549057559714,215.91616900707368,1747.0000000000002,1747.0,0.015782775367636333,0.03783204030615466,0.028737457850075497,0.02247857423501517
36,West Hollywood,35716,2035.8120000000004,22393.932,5250.2519999999995,6036.003999999999,27.448563280955703,723.7501903325502,128.89232818997982,115.90891819651414,995.9999999999999,996.0,0.013482857592427837,0.03231903134887389,0.024549741267653406,0.01920292269463608
37,Shadow Hills,13098,3130.422,5763.120000000001,2514.8160000000003,1702.74,17.51539888493111,77.29496342420475,25.620543111950703,13.569094578913417,133.99999999999997,134.0,0.005595219713166822,0.013411999650225007,0.010187840029628688,0.00796897622591436
38,Downtown,27849,3453.276,15316.95,4622.934,4455.84,94.73616675682905,1007.2405485544604,230.92299578515778,174.10028890355298,1507.0000000000002,1507.0,0.027433708384973877,0.06575986397778019,0.04995160990512903,0.03907238341223046
39,West Hills,38814,10091.640000000001,16340.693999999998,7180.59,5201.076,147.44645673582295,572.294374275251,191.02829212041007,108.23087686851578,1018.9999999999999,1019.0,0.014610752735514043,0.03502264801453666,0.026603425640568543,0.020809324237622325
40,Brentwood,31344,4419.504000000001,15891.408,5641.92,5391.168,41.736759265787306,359.73604811618344,97.01459807283484,72.5125945451944,571.0,571.0,0.009443765469108592,0.022637141285163875,0.017195316146424416,0.013450256891492606
41,Beverlywood,6080,1611.2,2547.5200000000004,918.0799999999999,1003.2,41.70166062729244,158.05123255113554,43.26626390076475,36.980842920807234,280.0,280.0,0.025882361362520135,0.06204121363174205,0.047126899508501165,0.03686288169936925
42,Culver City,38816,8384.256000000001,18398.784,6598.72,5395.424000000001,82.46455157909338,433.778757666977,118.17549875423147,75.58119199969812,710.0,710.0,0.00983564332709943,0.023576490580408848,0.017908851830996234,0.01400838784860988
43,West Los Angeles,12659,1670.988,6797.882999999999,1974.804,2202.6659999999997,57.84490475021953,564.0814955635312,124.47460287294564,108.5989968133036,855.0,855.0,0.03461718740662382,0.08297899442569566,0.06303137064384397,0.04930343357245429
44,Torrance,137933,32965.987,64000.912,21517.548,19448.553,298.3440659999624,1388.397657300944,354.57578542643165,250.68249127266193,2292.0,2292.0,0.009050057139195086,0.021693404264316485,0.01647844751764614,0.01288951888979411
45,Monterey Park,59933,13245.193000000001,26490.386,9409.481,10847.873000000001,186.2110583175343,892.7129861033701,240.86728591818866,217.20866966090693,1537.0,1537.0,0.014058765192589816,0.03369950842178631,0.025598360410971514,0.020023157503863374
46,Northeast Antelope Valley,4550,1255.8000000000002,1833.65,850.85,609.7,,,,,,,,,,
47,La Crescenta-Montrose,18507,5200.467000000001,8217.107999999998,2998.134,2072.7839999999997,,,,,,,,,,
48,Marina del Rey,8302,572.8380000000001,5288.374,1627.192,805.2939999999999,,,,,,,,,,
49,Calabasas,23130,6753.960000000001,10177.199999999999,4325.31,1873.53,76.4603129904572,276.1736786825897,89.1578933925163,30.208114934436836,472.00000000000006,472.0,0.011320812233187224,0.027136508930019034,0.020613064356662596,0.016123635561980237
50,Cerritos,51831,13424.229000000001,21665.358,11765.636999999999,4923.945,133.67978639582034,517.1525244149758,213.33239447836567,69.83529471083817,934.0,934.0,0.0099580978837459,0.023870019799117827,0.01813181848788686,0.014182793412769268
51,Playa del Rey,9755,1209.62,5677.41,1794.92,1073.05,,,,,,,,,,
52,Windsor Square,5642,1382.29,2663.024,902.72,699.608,,,,,,,,,,
53,Beverly Grove,21417,1799.028,12486.110999999999,2762.793,4369.067999999999,,,,,,,,,,
54,Temple City,33296,8423.888,14750.128,5527.136,4594.848,121.36017052656985,509.372824702105,144.98688418033677,94.28012059098849,870.0000000000001,870.0,0.014406669524401302,0.03453345114714292,0.026231828596281467,0.0205186592877476
55,Tarzana,35502,8058.954000000001,15940.398,6106.343999999999,5396.304,159.1406063123575,754.5323777242784,219.5576481134332,151.76936784993083,1285.0,1285.0,0.019747054805419845,0.047334600912993414,0.035955663178070744,0.02812468827737111
56,Leimert Park,11782,2992.628,4889.53,1814.4279999999999,2073.632,76.77740271687756,300.6936001478979,84.75891575684157,75.77008137838291,537.9999999999999,538.0,0.025655511716416994,0.061497444569907106,0.04671384907907152,0.03653979171732637
57,West Carson,21010,4958.36,9118.339999999998,3760.79,3151.5,,,,,,,,,,
58,Studio City,34034,4832.8279999999995,19093.073999999997,5581.575999999999,4492.488,33.5327131028355,317.5554703334068,70.5162435125492,44.395573051208444,465.9999999999999,466.0,0.006938528146012129,0.016631971904231182,0.012633751383578617,0.009882179552000683
59,Santa Monica,84084,12528.516,45825.780000000006,13705.692000000001,12024.012,126.0045666197616,1104.7726321307293,250.98778905683145,172.23501219267763,1654.0,1654.0,0.010057421534981606,0.024108103170982123,0.01831266812772616,0.014324254848770744
60,North El Monte,3703,925.75,1636.726,581.371,562.856,,,,,,,,,,
61,Hancock Park,9804,1931.3880000000001,4960.824,1607.8559999999998,1313.736,39.931713331960516,245.8547614748093,60.52858738721576,38.68493780601447,385.00000000000006,385.0,0.02067513794843942,0.04955925900108718,0.0376455275766087,0.02944650813102059
62,Hollywood Hills,21588,2158.8,13470.912,3410.904,2525.796,30.43780826799201,455.2755786857765,87.56598472731949,50.72062831891209,624.0000000000001,624.0,0.0140994109079081,0.03379693807559403,0.02567236859416726,0.02008104705166692
63,Glendale,195047,46226.138999999996,92257.231,29452.096999999998,27111.533000000003,890.8152148397139,4261.640480874058,1033.4303200279376,744.1139842582895,6929.999999999999,6930.0,0.01927081158215948,0.04619302394707747,0.03508851407178028,0.02744640018173408
64,Glendora,50177,14200.091000000002,21626.287,8028.320000000001,6322.302,303.91929991046106,1109.4953927086942,312.8648685786669,192.72043880217785,1919.0,1919.0,0.021402630441626113,0.051303092052218405,0.038970154226372004,0.030482637305553874
65,Tujunga Canyons,2474,729.8300000000002,1066.294,395.84000000000003,282.036,,,,,,,,,,
66,Toluca Lake,7782,1213.992,4599.161999999999,1190.646,785.982,14.778300147419687,134.20347262789525,26.39102677075594,13.627200453929142,189.0,189.0,0.012173309335992071,0.029179983794416303,0.02216530082892475,0.01733780220657616
67,La Verne,33117,9140.292000000001,14472.129,5398.071,4139.625,146.10870151815766,554.5297165580782,157.11569665444424,94.24588526931983,952.0,952.0,0.015985124054916148,0.038317079439941296,0.029105896653534982,0.022766768794110537
68,Lopez/Kagel Canyons,697,215.373,264.86,121.27799999999999,95.48899999999999,,,,,,,,,,
69,Acton,6522,2100.084,2850.114,1050.042,521.76,,,,,,,,,,
70,Ramona,4053,1090.257,1750.896,644.427,571.473,,,,,,,,,,
71,Sunland,15316,3951.5280000000002,7075.992000000001,2343.348,1960.448,116.68691050485042,500.86513213606116,125.99660352646168,82.45135383262672,826.0000000000001,826.0,0.02952956691812646,0.07078373352260164,0.05376777308639676,0.042057404140597825
72,South Pasadena,24303,5759.811,11981.378999999999,3718.359,2843.451,60.26830521309959,300.5134681404992,70.843014953344,42.3752116930573,474.00000000000006,474.0,0.01046359076940191,0.025081709554509477,0.019052225713908744,0.014902740259303679
73,Agoura Hills,20324,6544.328,8678.348,3820.912,1280.412,59.77794014943019,190.01563509265335,63.54887919942671,16.657545558489733,330.0,330.0,0.00913431297291795,0.02189536938281956,0.016631861503072227,0.01300952002831099
74,Altadena,42680,11694.320000000002,18864.56,6956.84,5164.28,,,,,,,,,,
75,Sherman Oaks,61166,10031.224,33641.3,9174.9,8257.41,174.54418176991294,1403.1387109850234,290.68174564900977,204.63536159605394,2073.0,2073.0,0.017400088141777407,0.04170881360069389,0.03168227944162986,0.024782027487560136
76,Playa Vista,2416,471.12,1212.832,352.736,379.312,22.31212956577946,137.68496462495938,30.417550626188472,25.58535518307269,216.0,216.0,0.04735975879983754,0.1135235256201678,0.08623319033551571,0.06745200569207589
77,Carthay,4866,793.158,2700.6299999999997,686.1059999999999,690.972,33.1453858447376,270.5234055838227,52.205896637541564,41.12531193389808,397.0,397.0,0.04178913387337403,0.10017048080774588,0.07609013277473389,0.05951805852320801
78,North Whittier,4351,1144.313,1936.195,839.743,435.1,,,,,,,,,,
79,Chinatown,9610,2248.7400000000002,4065.0299999999997,1374.2300000000002,1912.3899999999999,35.78397529070131,155.05632395727218,39.817476944823525,43.34222380720297,274.0,274.0,0.015912900242225116,0.03814395563065271,0.028974390709578104,0.022663904228323182
80,San Dimas,35064,9502.344000000001,15217.776,6101.1359999999995,4207.68,165.54803204954217,635.5077475176506,193.5392045636646,104.4050158691425,1098.9999999999998,1099.0,0.017421810034402265,0.04176088197892061,0.03172183091208992,0.02481296483314855
81,Manhattan Beach,34039,7828.969999999999,16815.266,5888.747,3471.9779999999996,71.16889508649095,366.40865580449145,97.47056026199157,44.951888847026,579.9999999999999,580.0,0.009090454438641475,0.021790238453824724,0.016552003382381948,0.012947054631978084
82,Granada Hills,50535,12785.355,22942.89,8489.880000000001,6367.41,329.2333152503465,1416.1703428070966,398.0682207835873,233.52812115896936,2377.0,2377.0,0.02575081530785391,0.0617258916730672,0.046887378948063725,0.03667552759426036
83,Green Valley,754,230.72399999999996,334.77599999999995,123.65599999999998,65.598,,,,,,,,,,
84,Valley Village,24190,4426.7699999999995,13231.929999999998,3434.9799999999996,3072.13,74.19869761163494,531.6292985233597,104.83311942169117,73.33888444331416,784.0,784.0,0.01676136271178194,0.04017775929311595,0.030519280875490155,0.02387232455765679
85,Walnut,30004,8851.18,13831.844,5190.692,2160.2880000000005,96.24587255483739,360.5266821723475,102.77113981036982,33.45630546244538,593.0,593.0,0.010873789998038385,0.026064976019997587,0.01979912115963918,0.01548696537797061
86,Baldwin Hills/Crenshaw,30123,8283.825,12802.275,4578.696,4488.327,,,,,,,,,,
87,Redondo Beach,63261,12272.634,36248.553,9489.15,5187.401999999999,102.18259988183532,723.4461817561107,143.85714914186198,61.5140692201923,1031.0000000000005,1031.0,0.00832605289800342,0.019957932714062012,0.015160172317000151,0.011858357848532331
88,San Gabriel,39306,9590.664,18984.798,5502.84,5267.004,148.972469112179,706.8702577885061,155.63569063959534,116.5215824597195,1128.0,1128.0,0.01553307144449842,0.037233488488447763,0.028282794091704526,0.02212293411201501
89,Gramercy Park,10047,2973.912,3958.518,1687.8960000000002,1436.7210000000002,,,,,,,,,,
90,Claremont,35397,8176.706999999999,16070.238000000001,5946.696000000001,5238.756,99.39846491653334,468.273885207562,131.62608105074767,90.70156882515695,790.0,790.0,0.01215629530525349,0.029139200378212316,0.022134321487217046,0.017313570020279043
91,Burbank,100316,23373.628,49756.736,14144.555999999999,12940.764000000001,382.95429616753,1954.1103717530111,421.9637172755705,301.9716148038879,3060.9999999999995,3061.0,0.016384033157690797,0.03927328295314651,0.029832234909004607,0.02333491398219517
92,East Pasadena,6045,1589.835,2659.8,1003.47,797.94,,,,,,,,,,
93,El Segundo,15970,3705.04,8304.4,2443.41,1517.15,27.462126806889923,147.54548192956327,32.97635016112796,16.01604110241881,223.99999999999994,224.0,0.007412099952197527,0.01776714536023834,0.013496036343113912,0.0105566628892455
94,Diamond Bar,56784,16126.656,26461.344,10050.768,4088.4480000000003,166.1207197648051,653.382907493059,188.5140406966774,59.98233204545864,1068.0000000000002,1068.0,0.010301002251477622,0.02469197738002495,0.01875618268143065,0.014671174011619723
95,Pico-Robertson,18019,3261.439,9477.994,2342.4700000000003,2919.078,,,,,,,,,,
96,East San Gabriel,22171,5542.75,10486.883,3347.821,2793.546,,,,,,,,,,
97,Tujunga,26527,7135.763000000001,12892.122,3872.9419999999996,2626.1730000000002,140.8711034806827,610.0736873719898,139.21545920997136,73.8397499373562,964.0,964.0,0.019741561411258008,0.04732143299388493,0.035945660743169246,0.02811686432590549
98,Hacienda Heights,53525,14344.7,23551.0,9259.825,6315.950000000001,,,,,,,,,,
99,Rancho Park,4295,824.64,2233.4,691.495,541.17,14.0654205393689,91.31270848617777,21.47545336114568,13.146417613307671,140.00000000000003,140.0,0.017056437402222666,0.040885066932111476,0.03105655624573667,0.02429258387070176
100,Los Feliz,35238,5426.652,20191.374,4933.320000000001,4651.416,31.49681174246174,280.916264117519,52.13614086916123,38.45078327085796,402.99999999999994,403.0,0.005804096474670154,0.013912686878937462,0.010568165225276533,0.008266468376696035
101,Del Rey,28010,6386.28,14117.04,4173.49,3333.19,86.85609863099084,460.2273201188145,103.35148266597977,64.56509858421495,715.0000000000001,715.0,0.013600421314284818,0.03260083701107416,0.02476380263663739,0.01937036250085202
102,Rowland Heights,47524,13259.196000000002,22241.232,7936.507999999999,4087.064,,,,,,,,,,
103,Westchester,41500,9130.000000000002,21704.5,5892.999999999999,4772.5,92.9430981814922,529.6299568518237,109.23147061524634,69.19547435143771,801.0,801.0,0.010179966942113055,0.024401850162492744,0.018535800206218624,0.014498789806482495
104,La Mirada,46782,13192.524000000001,20396.952,6876.954,6315.570000000001,232.4429744565653,861.4502344842716,220.6224091153278,158.4843819438352,1473.0,1473.0,0.017619295174794852,0.04223426296655851,0.0320814141137672,0.02509423249901991
105,Lakewood,79412,23029.48,36291.284,10879.444,9211.792,352.6499036780461,1332.1046983896774,303.34113732794935,200.90426060432702,2189.0,2189.0,0.015312977265576387,0.03670591259294318,0.027882044094160452,0.02180946558545037
106,Lake Balboa,24238,6253.404,12094.762,3223.654,2666.18,266.3596084446937,1234.8823853888186,250.0145447377599,161.74346142872758,1913.0,1913.0,0.042594338770483034,0.10210059407442813,0.0775562590581247,0.06066486937443368
107,Unincorporated Catalina Island,139,41.422000000000004,67.554,26.270999999999997,3.7530000000000006,,,,,,,,,,
108,South San Gabriel,8100,2195.1000000000004,3645.0,1206.8999999999999,1053.0,,,,,,,,,,
109,Venice,37705,5354.11,23527.92,5618.045,3242.6299999999997,42.07836238940233,443.23236292812516,80.39364606479562,36.29562861767681,601.9999999999999,602.0,0.007859076931441888,0.018838569789769992,0.014309897137668996,0.011193268617658141
110,Eagle Rock,32493,7993.278,15759.105,4743.978,3996.6390000000006,157.47504941270208,744.2087521094977,170.17449633950795,112.14170213829247,1184.0000000000002,1184.0,0.019700934887126667,0.04722404934223725,0.03587168750350612,0.028059002111096965
111,East La Mirada,9442,2700.4120000000003,4230.0160000000005,1359.6480000000001,1151.924,,,,,,,,,,
112,Mar Vista,35492,7027.416,19201.172,5110.848000000001,4152.563999999999,63.610796359500654,416.61921458519396,84.23510206469548,53.53488699061003,618.0000000000002,618.0,0.009051804583576758,0.0216975929690747,0.016481629284356623,0.012892007682629344
113,Unincorporated Santa Monica Mountains,8929,2134.031,4527.003,1517.93,750.0360000000001,,,,,,,,,,
114,Lomita,19984,5255.792,9772.176,2697.84,2238.2079999999996,52.30046459911999,233.09612069137594,48.88195183591966,31.721462873584397,366.0,366.0,0.00995101491823116,0.023853041604180683,0.0181189217432908,0.014172705518693705
115,Littlerock,1388,464.98,581.572,216.528,123.53200000000001,,,,,,,,,,
116,Quartz Hill,9351,3011.0219999999995,4151.844,1383.948,804.1859999999999,,,,,,,,,,
117,Alhambra,85961,20544.679,42722.617,11432.813,11346.852,279.27216763240875,1392.074672770961,282.9738918496967,219.67926774693345,2174.0,2174.0,0.01359340623586325,0.03258402154462965,0.0247510295016368,0.019360371294781447
118,Silver Lake,30972,6163.428,17313.347999999998,4212.192,3314.004,,,,,,,,,,
119,Unincorporated Santa Susana Mountains,4525,1230.8000000000002,2398.25,624.45,271.5,,,,,,,,,,
120,Ridge Route,1951,602.8589999999999,1008.667,241.924,97.55000000000001,,,,,,,,,,
121,Pasadena,134941,32250.898999999998,67470.5,18891.74,16192.92,,,,,,,,,,
122,Atwater Village,14888,3692.224,7190.9039999999995,2262.976,1741.896,60.75362739094462,283.6247013261155,67.7999060912636,40.82176519167631,453.00000000000006,453.0,0.01645448038660293,0.03944214820919811,0.02996050602890335,0.02343524825344126
123,San Pedro,80065,21777.68,37390.354999999996,11849.62,9127.41,412.7891875405948,1698.8407814752873,408.9649571046881,246.40507387942978,2767.0,2767.0,0.018954690653026164,0.045435267503485526,0.03451291746947903,0.02699616582134798
124,Mid-Wilshire,41683,7461.257,23800.993,5252.058,5168.692,,,,,,,,,,
125,Castaic Canyons,7757,2474.483,3661.304,1171.307,442.149,,,,,,,,,,
126,Mission Hills,18237,5398.152,8024.28,2279.625,2534.943,262.9597144544238,936.9719145871876,202.19596907396513,175.87240188442325,1577.9999999999998,1578.0,0.048712914059186145,0.11676710117134342,0.08869703090375176,0.06937923333361865
127,Duarte,21486,6402.828000000001,9389.382,3093.9840000000004,2578.3199999999997,150.12124608935395,527.6959024298844,132.08495744049372,86.09789404026786,896.0,896.0,0.02344608446288951,0.05620134556564899,0.04269089867319731,0.033393021052572164
128,Larchmont,8631,1950.6059999999998,4755.681,1199.709,716.373,,,,,,,,,,
129,Manchester Square,11594,3628.922,4683.976000000001,1762.288,1518.814,59.02118649798948,182.60865249952138,52.188180786772136,35.181980215717,329.0,329.0,0.016264109974805048,0.03898582155406462,0.029613877406401302,0.023164113720124384
130,Gardena,57818,15553.041999999998,26943.188,8036.702000000001,7285.068,294.94909657909204,1224.7772062401232,277.5073961468491,196.76630103393575,1994.0,1994.0,0.018964077675550035,0.04545776862931451,0.03453000946742197,0.027009535262256405
131,Del Aire,9039,2720.7389999999996,4429.11,1111.797,768.315,,,,,,,,,,
132,Monrovia,36817,10713.747,17377.624,4749.393,3939.419,198.10741707734212,770.2401154401822,159.9051418323823,103.74732565009339,1232.0,1232.0,0.01849095531911871,0.044323672525092166,0.033668542871137914,0.026335692052582727
