Neighborhood,MEDIAN AGE,AGE 65 AND UP,AGE 50 TO 64,AGE 35 TO 49,AGE 19 TO 34,AGE 11 TO 18,AGE 10 OR LESS,FOREIGN BORN POPULATION,SQUARE MILES,FOUR-YEAR DEGREES,LESS THAN HIGH SCHOOL,HIGH SCHOOL DIPLOMA,SOME COLLEGE,BACHELOR'S DEGREE,MASTERS DEGREE OR HIGHER,DIVERSITY INDEX,ASIAN POPULATION,BLACK POPULATION,LATINO POPULATION,WHITE POPULATION,NON-WHITE POPULATION,SINGLE PARENTS,AVERAGE HOUSEHOLD SIZE,HOMEOWNERS,RENTERS,Median Income,"$20,000 or less","$20,000 to $40,000","$40,000 to $60,000","$60,000 to $125,000","$125,000 and up",NEVER MARRIED MALES,NEVER MARRIED FEMALES,MARRIED MALES,MARRIED FEMALES,WIDOWED MALES,WIDOWED FEMALES,DIVORCED MALES,DIVORCED FEMALES,VETERANS,POPULATION TOTAL,POPULATION PER SQMI
Westwood,27,12.0%,9.7%,14.5%,51.5%,7.5%,4.9%,31.3%,3.7,66.5%,5.2%,9.5%,18.8%,31.7%,34.8%,0.543,23.1%,2.0%,7.0%,62.9%,37.1%,4.5%,2.0,35.9%,64.1%,"$68,716",25.6%,14.7%,11.7%,21.7%,20.0%,57.2%,54.6%,37.5%,32.4%,1.8%,6.9%,3.6%,6.2%,5.0%,"47,916","13,036"
Lake Los Angeles,27,5.6%,11.5%,25.6%,14.5%,20.1%,22.7%,15.9%,7.0,8.8%,33.4%,26.6%,31.2%,5.5%,3.2%,0.639,2.0%,9.2%,35.5%,47.1%,52.9%,17.2%,3.7,77.7%,22.3%,"$52,146",18.3%,28.4%,22.8%,18.4%,2.4%,27.1%,23.0%,61.0%,59.8%,1.6%,6.1%,10.4%,11.2%,12.8%,"11,141","1,601"
Lincoln Heights,27,10.2%,10.2%,19.6%,26.0%,13.4%,20.6%,55.8%,2.5,5.5%,68.2%,13.8%,12.5%,4.3%,1.2%,0.436,25.2%,0.4%,70.7%,2.7%,97.3%,19.5%,3.6,24.1%,75.9%,"$30,579",42.1%,29.7%,12.1%,9.1%,1.9%,40.6%,35.1%,53.0%,50.2%,2.0%,9.1%,4.4%,5.7%,2.8%,"26,616","10,602"
Westlake,27,7.6%,8.6%,20.2%,33.7%,9.9%,19.9%,67.6%,2.7,12.0%,58.9%,15.7%,13.5%,8.9%,3.1%,0.430,16.5%,3.9%,73.4%,4.5%,95.5%,24.6%,3.0,5.1%,94.9%,"$26,757",47.4%,28.9%,9.9%,6.3%,1.5%,47.0%,36.4%,46.5%,48.4%,1.8%,8.6%,4.7%,6.6%,3.5%,"103,839","38,214"
Cypress Park,27,8.4%,11.5%,19.1%,28.4%,11.9%,20.7%,52.5%,0.7,8.4%,64.0%,14.0%,13.6%,5.3%,3.1%,0.311,11.1%,0.6%,82.1%,4.9%,95.1%,16.6%,3.7,41.7%,58.3%,"$42,615",30.0%,27.6%,15.9%,16.0%,5.5%,40.0%,33.3%,54.4%,51.8%,2.1%,9.2%,3.5%,5.6%,3.7%,"9,764","13,478"
Harbor Gateway,27,7.3%,10.2%,20.6%,28.5%,11.6%,21.9%,40.8%,5.1,12.4%,39.7%,22.5%,25.4%,9.1%,3.3%,0.648,16.0%,16.3%,53.4%,11.8%,88.2%,19.4%,3.3,40.3%,59.7%,"$47,849",25.4%,29.8%,17.0%,22.1%,3.1%,40.2%,30.1%,51.9%,56.2%,1.8%,6.3%,6.1%,7.4%,7.6%,"39,688","7,720"
Commerce,27,10.3%,10.6%,18.8%,25.4%,13.8%,21.2%,38.8%,6.6,4.6%,54.2%,21.5%,19.7%,3.1%,1.6%,0.125,1.1%,0.4%,93.4%,4.4%,95.6%,17.6%,3.6,47.4%,52.6%,"$46,245",27.6%,29.1%,18.8%,20.0%,1.9%,38.0%,31.5%,54.5%,52.6%,3.0%,10.5%,4.5%,5.3%,5.6%,"12,583","1,912"
Pico-Union,27,7.1%,9.8%,20.7%,29.9%,11.7%,21.0%,64.6%,1.7,6.7%,65.7%,15.8%,11.7%,4.9%,1.8%,0.264,7.6%,2.9%,85.4%,3.0%,97.0%,23.3%,3.3,9.5%,90.5%,"$26,424",48.4%,27.8%,10.4%,6.7%,1.8%,43.4%,36.2%,50.6%,49.7%,1.5%,7.4%,4.5%,6.7%,2.3%,"42,324","25,352"
Hawthorne,27,6.0%,10.0%,22.0%,29.3%,11.2%,21.5%,33.3%,6.2,12.6%,33.2%,23.7%,30.5%,8.6%,4.1%,0.676,7.6%,32.4%,44.2%,12.9%,87.1%,27.2%,2.9,25.7%,74.3%,"$43,602",27.5%,30.9%,16.9%,17.8%,3.3%,41.0%,35.0%,50.2%,46.5%,1.3%,6.9%,7.5%,11.6%,7.2%,"86,265","13,848"
Athens,27,7.3%,13.6%,19.7%,23.5%,12.2%,23.8%,28.0%,1.3,12.5%,38.6%,18.8%,30.1%,9.7%,2.8%,0.547,2.9%,54.3%,39.7%,1.2%,98.8%,24.5%,3.4,55.9%,44.1%,"$48,824",28.4%,23.2%,18.4%,23.6%,3.2%,39.0%,36.9%,50.9%,45.5%,1.6%,8.9%,8.5%,8.6%,8.0%,"9,101","6,829"
Azusa,26,7.0%,9.3%,19.9%,30.3%,13.3%,20.2%,34.0%,9.9,14.2%,39.3%,19.9%,26.6%,9.9%,4.3%,0.521,5.6%,3.4%,64.7%,23.6%,76.4%,18.3%,3.3,50.4%,49.6%,"$53,299",22.4%,26.3%,20.2%,23.9%,3.0%,41.7%,36.7%,50.2%,46.7%,2.0%,6.6%,6.1%,10.0%,6.7%,"44,384","4,496"
Exposition Park,26,7.0%,9.6%,21.6%,26.1%,14.1%,21.5%,38.5%,1.8,7.3%,51.2%,19.1%,22.5%,5.2%,2.1%,0.539,1.6%,38.1%,56.1%,2.2%,97.8%,27.3%,3.3,31.0%,69.0%,"$33,999",38.1%,28.9%,13.2%,10.5%,1.4%,45.5%,39.1%,47.2%,43.1%,1.9%,8.8%,5.4%,8.9%,5.5%,"31,062","16,819"
Citrus,26,5.7%,10.9%,20.4%,27.8%,14.2%,21.0%,33.9%,1.0,11.5%,38.8%,22.9%,26.8%,9.0%,2.4%,0.519,6.5%,3.7%,64.9%,23.1%,76.9%,14.8%,3.7,62.9%,37.1%,"$66,638",15.2%,21.4%,25.6%,29.8%,4.0%,38.9%,31.5%,53.0%,52.1%,1.7%,7.6%,6.4%,8.8%,6.8%,"11,964","11,827"
El Monte,26,6.6%,10.2%,19.8%,27.8%,13.6%,22.1%,51.3%,9.7,7.1%,55.8%,19.9%,17.2%,5.1%,2.0%,0.435,18.5%,0.5%,72.5%,7.3%,92.7%,17.9%,4.0,41.0%,59.0%,"$44,415",27.5%,30.6%,18.7%,17.9%,3.0%,41.3%,31.6%,52.7%,53.6%,1.9%,7.5%,4.2%,7.3%,4.5%,"116,249","11,995"
San Fernando,26,6.8%,9.9%,20.5%,27.1%,14.2%,21.5%,43.4%,2.4,5.4%,58.1%,19.8%,16.7%,3.6%,1.9%,0.192,0.5%,0.7%,89.5%,8.0%,92.0%,15.3%,3.8,53.9%,46.1%,"$54,068",21.7%,27.2%,21.9%,24.8%,2.0%,36.5%,29.0%,56.1%,56.2%,1.9%,8.1%,5.5%,6.7%,4.4%,"23,534","9,856"
Adams-Normandie,26,8.2%,9.1%,20.7%,29.5%,13.7%,18.9%,46.7%,0.8,9.5%,57.4%,15.8%,17.3%,5.8%,3.7%,0.545,5.2%,24.8%,62.2%,5.6%,94.4%,24.4%,3.2,20.6%,79.4%,"$29,606",43.4%,28.0%,11.8%,9.3%,2.0%,46.6%,41.2%,44.3%,41.8%,2.4%,9.3%,6.7%,7.6%,4.7%,"17,596","21,848"
South San Jose Hills,26,6.1%,11.3%,19.9%,26.4%,14.8%,21.5%,45.8%,1.5,7.9%,55.0%,19.2%,18.0%,5.1%,2.8%,0.304,5.9%,2.1%,82.8%,7.4%,92.6%,11.0%,4.4,78.7%,21.3%,"$65,527",12.1%,25.1%,26.6%,29.4%,5.1%,37.9%,34.0%,54.4%,53.3%,1.3%,6.9%,6.4%,5.8%,4.3%,"20,257","13,646"
Pomona,26,6.7%,9.4%,20.8%,26.9%,14.3%,22.0%,36.6%,22.9,12.9%,45.0%,18.6%,23.6%,9.1%,3.8%,0.543,7.2%,9.1%,64.4%,17.0%,83.0%,17.7%,3.6,57.3%,42.7%,"$54,242",23.3%,24.6%,18.9%,24.0%,5.1%,38.6%,30.9%,53.6%,53.3%,1.4%,7.6%,6.4%,8.1%,6.3%,"150,269","6,556"
La Puente,26,7.7%,9.7%,21.0%,26.2%,14.4%,21.0%,43.5%,3.5,7.8%,50.3%,22.5%,19.4%,5.7%,2.1%,0.306,7.2%,1.9%,82.7%,6.7%,93.3%,14.8%,4.0,60.8%,39.2%,"$55,902",20.1%,27.2%,20.9%,26.7%,2.8%,38.6%,30.7%,53.5%,54.1%,2.3%,7.0%,5.7%,8.2%,5.6%,"41,009","11,761"
Vermont Square,26,8.4%,9.6%,20.9%,25.1%,14.2%,21.7%,38.5%,2.5,5.3%,53.7%,20.3%,20.8%,3.8%,1.5%,0.527,1.1%,39.2%,56.5%,1.4%,98.6%,26.7%,3.4,36.8%,63.2%,"$29,904",42.1%,24.0%,12.4%,10.0%,2.0%,44.1%,36.9%,46.3%,43.7%,3.1%,11.4%,6.6%,8.0%,5.9%,"45,284","17,798"
Baldwin Park,25,6.1%,10.4%,20.9%,26.0%,14.3%,22.3%,45.7%,6.8,9.0%,52.5%,21.1%,17.5%,7.4%,1.6%,0.360,11.8%,1.4%,78.7%,7.4%,92.6%,15.7%,4.2,60.7%,39.3%,"$56,585",19.4%,26.4%,23.4%,24.5%,3.5%,39.4%,30.8%,54.2%,55.2%,1.6%,7.4%,4.8%,6.6%,4.5%,"75,753","11,176"
Panorama City,25,6.2%,8.2%,20.5%,28.8%,12.7%,23.5%,55.0%,3.6,13.7%,49.5%,18.1%,18.7%,10.6%,3.1%,0.479,11.9%,4.3%,70.1%,11.5%,88.5%,20.2%,3.6,36.0%,64.0%,"$44,468",26.4%,32.0%,17.8%,18.0%,2.2%,38.3%,30.8%,55.0%,55.3%,1.5%,7.4%,5.2%,6.5%,4.3%,"65,766","18,028"
East Los Angeles,25,8.3%,9.2%,18.0%,28.3%,13.4%,22.7%,48.6%,7.5,3.7%,66.1%,17.5%,12.7%,2.6%,1.0%,0.065,1.0%,0.3%,96.7%,1.7%,98.3%,18.5%,3.9,36.6%,63.4%,"$38,621",32.4%,31.0%,16.8%,13.7%,2.0%,42.3%,35.3%,51.0%,49.9%,2.5%,8.4%,4.2%,6.4%,3.3%,"125,897","16,863"
Westmont,25,6.3%,10.5%,20.4%,23.3%,15.3%,24.3%,23.7%,1.8,5.7%,45.1%,24.2%,25.0%,4.6%,1.1%,0.514,0.7%,57.5%,39.3%,1.3%,98.7%,36.1%,3.3,32.0%,68.0%,"$31,572",40.0%,25.8%,12.3%,11.3%,1.4%,44.3%,40.7%,45.1%,41.7%,2.7%,7.8%,7.9%,9.8%,7.4%,"31,467","17,066"
South El Monte,25,7.1%,10.0%,19.1%,28.8%,13.3%,21.8%,51.9%,2.9,3.1%,64.4%,17.3%,15.2%,2.1%,1.0%,0.248,7.8%,0.1%,86.2%,5.1%,94.9%,16.5%,4.3,49.7%,50.3%,"$46,912",21.8%,33.3%,18.3%,19.9%,2.7%,40.0%,31.6%,52.3%,53.8%,2.3%,7.7%,5.4%,6.9%,4.7%,"20,935","7,150"
Boyle Heights,25,7.7%,9.5%,18.1%,28.2%,13.8%,22.8%,52.4%,6.5,5.0%,68.8%,15.4%,10.9%,3.5%,1.4%,0.115,2.4%,0.9%,94.0%,2.0%,98.0%,21.1%,3.8,24.1%,75.9%,"$33,235",38.6%,29.7%,13.6%,10.4%,1.9%,43.1%,35.0%,50.0%,51.5%,2.1%,7.7%,4.9%,5.7%,2.5%,"92,756","14,229"
Willowbrook,25,8.6%,9.8%,18.8%,23.9%,15.8%,23.1%,29.0%,3.8,6.3%,51.2%,20.4%,22.0%,4.3%,2.0%,0.523,0.6%,44.3%,53.0%,0.9%,99.1%,24.8%,3.7,52.4%,47.6%,"$38,224",33.1%,28.4%,13.9%,15.4%,3.2%,42.1%,37.0%,48.8%,43.5%,4.2%,10.4%,4.9%,9.2%,6.9%,"34,336","9,117"
Vermont-Slauson,25,7.3%,9.8%,19.8%,24.7%,14.9%,23.5%,39.2%,1.4,3.7%,59.6%,20.0%,16.7%,2.3%,1.4%,0.498,0.3%,36.8%,60.5%,1.3%,98.7%,24.8%,3.5,38.5%,61.5%,"$31,236",40.5%,25.2%,13.5%,9.7%,1.8%,41.4%,36.2%,49.9%,45.4%,3.2%,9.8%,5.5%,8.5%,5.5%,"26,797","18,577"
Walnut Park,25,7.1%,10.0%,18.7%,29.2%,13.1%,21.9%,52.2%,0.7,5.0%,63.6%,18.2%,13.2%,4.0%,0.9%,0.089,0.6%,0.1%,95.4%,3.8%,96.2%,13.5%,4.2,53.7%,46.3%,"$48,750",22.5%,28.6%,18.9%,23.0%,1.8%,43.0%,34.9%,52.7%,53.7%,1.6%,6.1%,2.6%,5.3%,2.9%,"16,180","22,028"
Compton,24,7.3%,9.1%,19.1%,24.4%,15.3%,24.8%,31.2%,10.3,6.0%,51.7%,21.2%,21.2%,4.1%,1.9%,0.519,1.4%,39.8%,56.7%,0.8%,99.2%,22.4%,3.9,57.2%,42.8%,"$43,157",29.6%,26.7%,17.8%,16.8%,2.8%,41.9%,34.8%,49.8%,47.9%,2.9%,8.4%,5.4%,8.8%,6.5%,"94,384","9,199"
Bell,24,5.1%,8.9%,19.2%,30.0%,13.5%,23.3%,53.3%,2.6,4.0%,64.9%,17.9%,13.3%,2.7%,1.3%,0.173,1.2%,0.8%,90.7%,5.9%,94.1%,19.6%,3.9,30.9%,69.1%,"$40,556",28.1%,35.2%,17.8%,14.1%,1.7%,41.6%,31.6%,53.1%,55.4%,1.4%,7.0%,3.9%,6.0%,3.1%,"36,667","14,357"
Paramount,24,5.1%,8.7%,19.3%,28.3%,13.4%,25.1%,40.6%,4.9,7.0%,50.0%,20.8%,22.3%,4.3%,2.7%,0.445,4.3%,11.9%,72.9%,8.9%,91.1%,22.3%,3.8,42.8%,57.2%,"$49,815",23.9%,28.1%,21.7%,19.3%,2.5%,39.4%,33.4%,53.1%,51.3%,1.2%,7.6%,6.3%,7.7%,5.1%,"55,319","11,395"
Pacoima,24,6.1%,9.4%,19.9%,27.2%,14.9%,22.5%,47.1%,7.1,4.2%,66.2%,16.1%,13.5%,3.0%,1.3%,0.259,1.9%,7.2%,85.6%,4.6%,95.4%,17.8%,4.3,56.5%,43.5%,"$49,066",25.1%,28.5%,20.2%,20.8%,2.0%,42.6%,34.0%,51.5%,53.4%,1.3%,6.7%,4.6%,5.9%,3.7%,"75,014","10,510"
Wilmington,24,6.0%,9.0%,19.3%,28.0%,13.5%,24.1%,44.5%,9.1,5.1%,61.2%,20.0%,13.7%,3.0%,2.1%,0.245,2.7%,2.6%,86.6%,6.4%,93.6%,19.3%,3.8,38.5%,61.5%,"$40,627",29.9%,30.7%,16.2%,15.8%,3.5%,38.2%,29.6%,55.4%,55.1%,1.3%,8.6%,5.2%,6.8%,4.6%,"51,517","5,636"
Green Meadows,24,8.0%,8.0%,20.2%,23.1%,16.3%,24.3%,30.2%,2.2,3.6%,56.0%,20.9%,19.5%,2.9%,0.7%,0.512,0.3%,44.1%,54.2%,0.6%,99.4%,27.6%,3.7,48.4%,51.6%,"$31,347",39.6%,26.2%,13.1%,10.3%,1.6%,42.8%,38.9%,50.3%,42.4%,1.9%,11.3%,5.1%,7.5%,5.1%,"28,381","12,785"
Huntington Park,24,5.2%,8.5%,18.9%,29.8%,13.9%,23.7%,55.9%,3.0,4.7%,67.8%,14.9%,12.5%,3.0%,1.8%,0.094,0.8%,0.6%,95.1%,3.0%,97.0%,19.5%,3.9,27.3%,72.7%,"$39,185",30.8%,32.6%,18.2%,13.5%,2.0%,41.2%,33.7%,53.8%,54.7%,1.6%,6.3%,3.5%,5.3%,2.2%,"61,370","20,223"
Vermont Vista,24,6.7%,10.1%,18.7%,24.4%,14.3%,25.6%,31.3%,1.6,6.0%,52.9%,21.6%,19.5%,4.3%,1.7%,0.526,0.8%,45.0%,52.1%,1.1%,98.9%,28.2%,3.5,40.4%,59.6%,"$31,272",39.4%,29.3%,12.1%,9.1%,1.7%,41.7%,37.9%,50.2%,44.4%,2.2%,8.8%,5.9%,9.0%,6.6%,"23,291","14,154"
Hawaiian Gardens,24,6.3%,9.3%,19.0%,26.8%,14.8%,23.8%,45.6%,1.0,6.7%,54.4%,21.9%,17.0%,4.6%,2.1%,0.436,8.9%,4.6%,73.6%,10.9%,89.1%,19.9%,3.9,45.1%,54.9%,"$46,853",27.7%,28.0%,23.5%,20.0%,2.1%,42.3%,33.0%,51.0%,51.4%,1.4%,7.7%,5.4%,8.0%,5.2%,"14,915","15,141"
South Gate,24,5.4%,9.1%,20.0%,28.1%,14.1%,23.3%,49.3%,7.4,4.9%,60.1%,20.5%,14.5%,3.2%,1.7%,0.147,0.9%,0.6%,92.1%,5.9%,94.1%,16.6%,4.0,46.9%,53.1%,"$48,312",22.6%,30.7%,20.3%,19.5%,2.3%,39.7%,32.3%,55.5%,54.7%,1.8%,6.6%,3.1%,6.4%,3.2%,"96,418","12,945"
Vermont Knolls,24,6.5%,9.6%,19.8%,25.3%,14.3%,24.5%,33.2%,1.1,5.4%,55.4%,19.5%,19.7%,4.0%,1.4%,0.521,1.2%,42.6%,54.5%,1.0%,99.0%,33.7%,3.3,27.9%,72.1%,"$27,730",45.3%,24.1%,12.8%,8.8%,1.2%,42.2%,39.7%,47.8%,41.5%,2.5%,8.9%,7.5%,9.9%,6.2%,"20,616","18,057"
Florence,23,5.9%,7.5%,18.9%,26.6%,15.3%,25.7%,41.3%,2.8,2.8%,65.9%,18.3%,12.9%,1.9%,1.0%,0.434,0.4%,28.1%,69.8%,0.4%,99.6%,28.1%,3.8,34.8%,65.2%,"$29,447",42.2%,25.4%,12.7%,8.4%,1.7%,43.1%,36.2%,48.3%,47.9%,2.8%,9.2%,5.7%,6.7%,4.1%,"43,815","15,661"
University Park,23,4.6%,5.9%,11.7%,55.8%,11.0%,10.9%,42.4%,1.2,23.7%,52.5%,10.5%,13.4%,10.7%,12.9%,0.676,16.1%,7.0%,47.7%,25.5%,74.5%,20.3%,2.7,7.8%,92.2%,"$18,533",56.6%,21.5%,8.4%,7.0%,0.9%,67.2%,61.5%,29.4%,30.7%,0.9%,4.9%,2.5%,2.8%,1.0%,"23,596","20,217"
Broadway-Manchester,23,5.8%,8.4%,19.2%,25.6%,15.7%,25.3%,35.0%,1.6,3.9%,58.1%,20.8%,17.2%,2.9%,1.0%,0.502,0.4%,39.3%,58.6%,1.0%,99.0%,27.9%,3.7,36.9%,63.1%,"$29,897",40.5%,26.0%,12.0%,9.2%,1.0%,45.5%,40.6%,46.4%,42.8%,2.5%,9.5%,5.6%,7.1%,3.9%,"23,471","15,060"
Maywood,23,4.3%,8.0%,19.1%,29.7%,13.6%,25.4%,55.2%,1.2,2.3%,70.4%,16.3%,10.9%,1.5%,0.8%,0.069,0.2%,0.0%,96.4%,2.8%,97.2%,18.7%,4.1,29.5%,70.5%,"$41,203",29.6%,33.8%,17.1%,14.6%,1.6%,40.8%,31.9%,55.0%,58.0%,1.4%,6.0%,2.8%,4.0%,2.4%,"28,083","23,638"
Lynwood,23,4.1%,8.1%,19.7%,28.1%,16.0%,24.1%,43.6%,4.9,4.5%,61.5%,19.0%,14.9%,2.8%,1.8%,0.309,1.2%,13.3%,82.0%,2.9%,97.1%,19.4%,4.4,47.1%,52.9%,"$48,518",24.4%,29.8%,20.3%,19.8%,1.8%,40.2%,34.0%,53.7%,54.0%,2.0%,6.1%,4.0%,5.9%,3.8%,"69,899","14,264"
Lennox,23,4.1%,6.6%,20.2%,28.4%,15.6%,25.1%,55.1%,1.1,3.0%,69.5%,16.5%,11.0%,2.0%,0.9%,0.197,1.2%,4.2%,89.4%,3.9%,96.1%,22.3%,4.2,28.8%,71.2%,"$37,937",32.5%,31.5%,17.4%,12.1%,2.2%,40.4%,35.6%,55.7%,54.3%,1.4%,5.6%,2.6%,4.4%,2.5%,"22,950","21,557"
Historic South-Central,23,3.9%,7.6%,17.6%,31.8%,14.0%,25.1%,56.3%,2.6,3.2%,74.2%,13.4%,9.2%,2.1%,1.1%,0.229,1.0%,10.1%,87.2%,1.2%,98.8%,24.9%,4.1,20.4%,79.6%,"$30,882",40.5%,28.4%,12.6%,9.0%,1.9%,46.4%,36.7%,49.1%,51.9%,1.1%,6.4%,3.4%,5.0%,2.5%,"49,728","19,474"
South Park,23,5.0%,6.9%,17.9%,30.2%,13.9%,26.2%,49.4%,1.4,3.4%,69.4%,15.1%,12.1%,2.4%,1.0%,0.345,0.1%,19.2%,78.6%,1.0%,99.0%,27.9%,3.9,27.7%,72.3%,"$29,518",41.9%,28.1%,12.0%,7.5%,1.6%,45.5%,39.1%,47.9%,48.4%,2.0%,7.0%,4.6%,5.5%,3.0%,"30,496","21,638"
East Compton,22,3.7%,9.2%,18.7%,26.6%,16.1%,25.7%,41.0%,0.8,3.9%,58.8%,18.3%,19.0%,2.9%,1.0%,0.416,1.0%,22.9%,72.9%,1.3%,98.7%,20.0%,4.4,56.1%,43.9%,"$44,439",29.1%,25.9%,19.9%,16.7%,3.2%,41.1%,35.2%,52.6%,52.9%,2.1%,5.1%,4.2%,6.9%,4.3%,"13,802","16,542"
Cudahy,22,3.8%,7.4%,17.8%,29.4%,15.9%,25.8%,53.1%,1.2,3.0%,67.4%,17.2%,12.4%,2.0%,1.1%,0.117,0.7%,0.2%,93.8%,4.4%,95.6%,23.8%,4.3,17.4%,82.6%,"$39,048",32.9%,32.6%,18.1%,12.2%,2.0%,40.4%,33.6%,54.8%,54.7%,0.9%,6.1%,3.9%,5.7%,1.9%,"24,208","19,697"
Central-Alameda,22,4.4%,6.6%,17.6%,29.8%,15.8%,25.8%,52.7%,2.2,2.8%,75.0%,13.1%,9.1%,1.9%,0.9%,0.267,0.7%,13.3%,84.6%,1.0%,99.0%,26.3%,4.3,29.8%,70.2%,"$31,559",39.0%,28.9%,12.2%,8.5%,2.2%,42.6%,36.2%,51.9%,53.5%,1.9%,5.7%,3.6%,4.6%,1.8%,"40,947","18,760"
Florence-Firestone,22,4.9%,7.3%,18.3%,27.6%,15.6%,26.2%,45.5%,3.6,2.4%,70.9%,16.2%,10.6%,1.6%,0.8%,0.243,0.0%,12.8%,86.1%,0.8%,99.2%,23.0%,4.2,37.6%,62.4%,"$34,408",37.1%,31.1%,14.5%,10.2%,1.5%,43.9%,37.2%,50.4%,49.9%,2.2%,7.4%,3.5%,5.5%,2.1%,"60,154","16,805"
Bell Gardens,22,4.0%,7.5%,18.5%,28.7%,15.2%,26.1%,50.4%,2.5,4.0%,68.7%,15.5%,11.9%,2.2%,1.8%,0.119,0.5%,0.6%,93.7%,4.7%,95.3%,22.0%,4.4,23.8%,76.2%,"$41,532",28.6%,34.3%,18.9%,13.0%,2.0%,41.9%,35.0%,52.9%,53.1%,1.4%,5.7%,3.8%,6.2%,2.3%,"44,054","17,762"
Vernon,21,3.2%,10.6%,16.0%,25.5%,21.3%,23.4%,9.6%,5.2,18.2%,40.9%,13.6%,27.3%,11.4%,6.8%,0.140,0.0%,0.0%,92.6%,2.1%,97.9%,0.0%,3.4,16.0%,84.0%,"$81,279",7.7%,7.7%,30.8%,34.6%,11.5%,8.0%,31.4%,92.0%,68.6%,0.0%,0.0%,0.0%,0.0%,3.8%,94,18
Watts,21,5.2%,7.2%,17.4%,24.6%,17.4%,28.2%,34.0%,2.1,2.9%,64.1%,19.0%,14.1%,1.7%,1.1%,0.482,0.2%,37.1%,61.6%,0.5%,99.5%,38.9%,4.0,33.0%,67.0%,"$25,161",47.8%,21.8%,11.3%,8.9%,0.8%,44.7%,45.3%,46.4%,40.2%,3.4%,8.7%,5.5%,5.7%,3.6%,"36,815","17,346"
